City, Zip_code, Safety_classifier, Accidents_per_1000_veh, Injuries_per_1000_accidents, Deaths_per_1000_accidents, Vehicles_involved_per_accident, Total_num_accidents, Total_num_of_accident_veh, Top_factor_1, Top_factor_2, Top_factor_3, Top_factor_4, Top_factor_5, Top_vehicle_type_1, Top_vehicle_type_2, Top_vehicle_type_3, Top_vehicle_type_4, Top_vehicle_type_5, Top_street_complaint_1, Top_street_complaint_2, Top_street_complaint_3, Top_complaint_desc_1, Top_complaint_desc_2, Top_complaint_desc_3, Top_complaint_desc_4, Top_complaint_desc_5, Num_street_complaints
NEW YORK,10009,Ok,0.05,231.85,0.83,1.92,1212,2327,Driver Inattention/Distraction: 108: 4.64%,Lost Consciousness: 42: 1.8%,Failure to Yield Right-of-Way: 34: 1.46%,Fatigued/Drowsy: 29: 1.25%,Backing Unsafely: 29: 1.25%,PASSENGER VEHICLE: 1004: 43.15%,TAXI: 312: 13.41%,SPORT UTILITY / STATION WAGON: 298: 12.81%,VAN: 112: 4.81%,BICYCLE: 105: 4.51%,STREET CONDITION: 716: 93.23%,STREET LIGHT CONDITION: 25: 3.26%,STREET SIGN - MISSING: 15: 1.95%,Pothole: 310: 40.36%,Cave-in: 104: 13.54%,Defective Hardware: 98: 12.76%,Rough  Pitted or Cracked Roads: 64: 8.33%,Failed Street Repair: 43: 5.6%,768
LITTLE NECK,11362,Safe,0.09,175.48,0,2.01,416,836,Driver Inattention/Distraction: 74: 8.85%,Failure to Yield Right-of-Way: 62: 7.42%,Backing Unsafely: 43: 5.14%,Fatigued/Drowsy: 37: 4.43%,Prescription Medication: 25: 2.99%,PASSENGER VEHICLE: 480: 57.42%,SPORT UTILITY / STATION WAGON: 253: 30.26%,VAN: 15: 1.79%,BUS: 10: 1.2%,SMALL COM VEH(4 TIRES): 8: 0.96%,STREET LIGHT CONDITION: 626: 58.45%,STREET CONDITION: 297: 27.73%,STREET SIGN - DAMAGED: 86: 8.03%,Street Light Out: 425: 39.68%,Pothole: 137: 12.79%,St Name - Attached to Pole: 60: 5.6%,Stop: 50: 4.67%,Photocell (PEC) Missing: 42: 3.92%,1071
BAYSIDE,11361,Safe,0.18,157.42,0,1.98,1118,2219,Failure to Yield Right-of-Way: 182: 8.2%,Driver Inattention/Distraction: 170: 7.66%,Backing Unsafely: 110: 4.96%,Fatigued/Drowsy: 76: 3.42%,Lost Consciousness: 44: 1.98%,PASSENGER VEHICLE: 1239: 55.84%,SPORT UTILITY / STATION WAGON: 689: 31.05%,VAN: 40: 1.8%,PICK-UP TRUCK: 34: 1.53%,SMALL COM VEH(4 TIRES): 24: 1.08%,STREET LIGHT CONDITION: 730: 53.21%,STREET CONDITION: 534: 38.92%,STREET SIGN - MISSING: 52: 3.79%,Street Light Out: 559: 40.74%,Pothole: 259: 18.88%,Cave-in: 73: 5.32%,Defective Hardware: 59: 4.3%,Rough  Pitted or Cracked Roads: 45: 3.28%,1372
BRONX,10453,Ok,0.17,367.78,0.81,1.93,1229,2377,Driver Inattention/Distraction: 103: 4.33%,Failure to Yield Right-of-Way: 42: 1.77%,Backing Unsafely: 31: 1.3%,Other Vehicular: 30: 1.26%,Fatigued/Drowsy: 28: 1.18%,PASSENGER VEHICLE: 1304: 54.86%,SPORT UTILITY / STATION WAGON: 505: 21.25%,VAN: 72: 3.03%,LIVERY VEHICLE: 71: 2.99%,TAXI: 58: 2.44%,STREET CONDITION: 448: 57.44%,STREET LIGHT CONDITION: 286: 36.67%,STREET SIGN - MISSING: 24: 3.08%,Pothole: 266: 34.1%,Street Light Out: 225: 28.85%,Failed Street Repair: 63: 8.08%,Cave-in: 39: 5.0%,Defective Hardware: 24: 3.08%,780
BRONX,10452,Ok,0.12,300.39,2.32,1.94,1295,2513,Driver Inattention/Distraction: 509: 20.25%,Failure to Yield Right-of-Way: 101: 4.02%,Backing Unsafely: 100: 3.98%,Fatigued/Drowsy: 90: 3.58%,Other Vehicular: 71: 2.83%,PASSENGER VEHICLE: 1028: 40.91%,SPORT UTILITY / STATION WAGON: 585: 23.28%,LIVERY VEHICLE: 280: 11.14%,VAN: 109: 4.34%,LARGE COM VEH(6 OR MORE TIRES): 80: 3.18%,STREET CONDITION: 434: 48.44%,STREET LIGHT CONDITION: 393: 43.86%,STREET SIGN - DAMAGED: 28: 3.13%,Street Light Out: 285: 31.81%,Pothole: 246: 27.46%,Failed Street Repair: 51: 5.69%,Cave-in: 41: 4.58%,Defective Hardware: 37: 4.13%,896
BRONX,10451,Ok,0.08,314.86,0.68,1.94,1480,2877,Driver Inattention/Distraction: 534: 18.56%,Fatigued/Drowsy: 144: 5.01%,Failure to Yield Right-of-Way: 111: 3.86%,Other Vehicular: 97: 3.37%,Backing Unsafely: 72: 2.5%,PASSENGER VEHICLE: 1325: 46.05%,SPORT UTILITY / STATION WAGON: 661: 22.98%,LIVERY VEHICLE: 179: 6.22%,VAN: 103: 3.58%,TAXI: 69: 2.4%,STREET CONDITION: 465: 78.95%,STREET LIGHT CONDITION: 52: 8.83%,STREET SIGN - MISSING: 32: 5.43%,Pothole: 295: 50.08%,Failed Street Repair: 57: 9.68%,Street Light Out: 43: 7.3%,No Parking  Standing  Stopping: 40: 6.79%,Cave-in: 32: 5.43%,589
JAMAICA,11432,Ok,0.05,249.26,1.18,1.92,1697,3252,Driver Inattention/Distraction: 513: 15.77%,Failure to Yield Right-of-Way: 164: 5.04%,Fatigued/Drowsy: 97: 2.98%,Other Vehicular: 89: 2.74%,Backing Unsafely: 69: 2.12%,PASSENGER VEHICLE: 1830: 56.27%,SPORT UTILITY / STATION WAGON: 768: 23.62%,BUS: 116: 3.57%,VAN: 81: 2.49%,OTHER: 39: 1.2%,STREET CONDITION: 889: 49.53%,STREET LIGHT CONDITION: 768: 42.79%,STREET SIGN - MISSING: 54: 3.01%,Street Light Out: 602: 33.54%,Pothole: 552: 30.75%,Cave-in: 85: 4.74%,Failed Street Repair: 68: 3.79%,Rough  Pitted or Cracked Roads: 57: 3.18%,1795
BRONX,10457,Ok,0.05,354.07,0.74,1.97,1350,2657,Driver Inattention/Distraction: 173: 6.51%,Failure to Yield Right-of-Way: 62: 2.33%,Other Vehicular: 54: 2.03%,Backing Unsafely: 41: 1.54%,Fatigued/Drowsy: 34: 1.28%,PASSENGER VEHICLE: 1327: 49.94%,SPORT UTILITY / STATION WAGON: 548: 20.62%,LIVERY VEHICLE: 117: 4.4%,VAN: 109: 4.1%,TAXI: 67: 2.52%,STREET CONDITION: 543: 63.66%,STREET LIGHT CONDITION: 270: 31.65%,STREET SIGN - MISSING: 19: 2.23%,Pothole: 353: 41.38%,Street Light Out: 213: 24.97%,Failed Street Repair: 71: 8.32%,Cave-in: 53: 6.21%,Defective Hardware: 25: 2.93%,853
JAMAICA,11433,Ok,0.08,386.24,2.12,1.95,945,1844,Driver Inattention/Distraction: 247: 13.39%,Other Vehicular: 82: 4.45%,Failure to Yield Right-of-Way: 48: 2.6%,Driver Inexperience: 32: 1.74%,Physical Disability: 23: 1.25%,PASSENGER VEHICLE: 1005: 54.5%,SPORT UTILITY / STATION WAGON: 370: 20.07%,BUS: 63: 3.42%,VAN: 54: 2.93%,OTHER: 50: 2.71%,STREET LIGHT CONDITION: 550: 50.14%,STREET CONDITION: 475: 43.3%,STREET SIGN - DAMAGED: 32: 2.92%,Street Light Out: 396: 36.1%,Pothole: 270: 24.61%,Failed Street Repair: 65: 5.93%,Cave-in: 43: 3.92%,Rough  Pitted or Cracked Roads: 38: 3.46%,1097
BRONX,10456,Hazardous,0.2,371.15,3.24,1.91,1234,2362,Driver Inattention/Distraction: 335: 14.18%,Failure to Yield Right-of-Way: 95: 4.02%,Other Vehicular: 86: 3.64%,Fatigued/Drowsy: 65: 2.75%,Backing Unsafely: 58: 2.46%,PASSENGER VEHICLE: 1105: 46.78%,SPORT UTILITY / STATION WAGON: 498: 21.08%,LIVERY VEHICLE: 194: 8.21%,VAN: 91: 3.85%,BUS: 52: 2.2%,STREET CONDITION: 455: 52.48%,STREET LIGHT CONDITION: 384: 44.29%,STREET SIGN - MISSING: 16: 1.85%,Street Light Out: 307: 35.41%,Pothole: 285: 32.87%,Failed Street Repair: 68: 7.84%,Cave-in: 23: 2.65%,Defective Hardware: 20: 2.31%,867
JAMAICA,11430,Safe,0.01,238.1,0,1.9,21,40,Driver Inattention/Distraction: 4: 10.0%,View Obstructed/Limited: 1: 2.5%,Outside Car Distraction: 1: 2.5%,,,PASSENGER VEHICLE: 22: 55.0%,SPORT UTILITY / STATION WAGON: 9: 22.5%,OTHER: 3: 7.5%,VAN: 1: 2.5%,BUS: 1: 2.5%,STREET LIGHT CONDITION: 31: 52.54%,STREET CONDITION: 26: 44.07%,STREET SIGN - MISSING: 1: 1.69%,Pothole: 16: 27.12%,Street Light Out: 15: 25.42%,Lamppost Base Door/Cover Open: 6: 10.17%,Rough  Pitted or Cracked Roads: 3: 5.08%,Multiple Street Lights Out: 2: 3.39%,59
BRONX,10455,Hazardous,0.28,381.58,3.04,1.87,988,1849,Driver Inattention/Distraction: 209: 11.3%,Other Vehicular: 72: 3.89%,Failure to Yield Right-of-Way: 61: 3.3%,Fatigued/Drowsy: 54: 2.92%,Backing Unsafely: 46: 2.49%,PASSENGER VEHICLE: 966: 52.24%,SPORT UTILITY / STATION WAGON: 311: 16.82%,TAXI: 66: 3.57%,VAN: 64: 3.46%,LARGE COM VEH(6 OR MORE TIRES): 57: 3.08%,STREET CONDITION: 356: 47.28%,STREET LIGHT CONDITION: 354: 47.01%,STREET SIGN - DAMAGED: 19: 2.52%,Pothole: 260: 34.53%,Street Light Out: 256: 34.0%,Failed Street Repair: 37: 4.91%,Cave-in: 20: 2.66%,Glassware Broken: 20: 2.66%,753
BRONX,10454,Ok,0.05,311.91,2.84,1.94,1058,2053,Driver Inattention/Distraction: 326: 15.88%,Other Vehicular: 122: 5.94%,Fatigued/Drowsy: 82: 3.99%,Failure to Yield Right-of-Way: 73: 3.56%,Prescription Medication: 55: 2.68%,PASSENGER VEHICLE: 1015: 49.44%,SPORT UTILITY / STATION WAGON: 420: 20.46%,VAN: 84: 4.09%,SMALL COM VEH(4 TIRES): 74: 3.6%,LARGE COM VEH(6 OR MORE TIRES): 71: 3.46%,STREET CONDITION: 470: 71.1%,STREET LIGHT CONDITION: 165: 24.96%,STREET SIGN - MISSING: 12: 1.82%,Pothole: 331: 50.08%,Street Light Out: 121: 18.31%,Cave-in: 35: 5.3%,Failed Street Repair: 30: 4.54%,Defective Hardware: 30: 4.54%,661
JAMAICA,11436,Ok,0.11,377.05,0,2.01,427,857,Driver Inattention/Distraction: 100: 11.67%,Failure to Yield Right-of-Way: 28: 3.27%,Other Vehicular: 21: 2.45%,Driver Inexperience: 10: 1.17%,Physical Disability: 8: 0.93%,PASSENGER VEHICLE: 475: 55.43%,SPORT UTILITY / STATION WAGON: 209: 24.39%,VAN: 19: 2.22%,BICYCLE: 14: 1.63%,PICK-UP TRUCK: 13: 1.52%,STREET LIGHT CONDITION: 332: 56.95%,STREET CONDITION: 207: 35.51%,STREET SIGN - DAMAGED: 19: 3.26%,Street Light Out: 283: 48.54%,Pothole: 113: 19.38%,Rough  Pitted or Cracked Roads: 27: 4.63%,Street Light Cycling: 22: 3.77%,Failed Street Repair: 18: 3.09%,583
BROOKLYN,11203,Ok,0.26,425.8,2.43,2.02,2884,5824,Driver Inattention/Distraction: 221: 3.79%,Failure to Yield Right-of-Way: 113: 1.94%,Fatigued/Drowsy: 94: 1.61%,Backing Unsafely: 58: 1.0%,Prescription Medication: 56: 0.96%,PASSENGER VEHICLE: 3335: 57.26%,SPORT UTILITY / STATION WAGON: 1399: 24.02%,VAN: 170: 2.92%,OTHER: 165: 2.83%,BICYCLE: 93: 1.6%,STREET CONDITION: 873: 45.28%,STREET LIGHT CONDITION: 585: 30.34%,STREET SIGN - DAMAGED: 365: 18.93%,Pothole: 512: 26.56%,Street Light Out: 504: 26.14%,Street Cleaning - ASP: 178: 9.23%,St Name - Attached to Pole: 95: 4.93%,Cave-in: 80: 4.15%,1928
BRONX,10459,Ok,0.27,349.03,0.84,1.88,1189,2237,Driver Inattention/Distraction: 76: 3.4%,Fatigued/Drowsy: 58: 2.59%,Failure to Yield Right-of-Way: 53: 2.37%,Other Vehicular: 30: 1.34%,Backing Unsafely: 27: 1.21%,PASSENGER VEHICLE: 1210: 54.09%,SPORT UTILITY / STATION WAGON: 317: 14.17%,LIVERY VEHICLE: 99: 4.43%,VAN: 78: 3.49%,LARGE COM VEH(6 OR MORE TIRES): 64: 2.86%,STREET LIGHT CONDITION: 437: 49.77%,STREET CONDITION: 407: 46.36%,STREET SIGN - DANGLING: 12: 1.37%,Street Light Out: 356: 40.55%,Pothole: 281: 32.0%,Cave-in: 50: 5.69%,Rough  Pitted or Cracked Roads: 27: 3.08%,Defective Hardware: 18: 2.05%,878
JAMAICA,11434,Ok,0.06,328.69,2.7,2,2224,4439,Driver Inattention/Distraction: 400: 9.01%,Failure to Yield Right-of-Way: 110: 2.48%,Fatigued/Drowsy: 92: 2.07%,Prescription Medication: 69: 1.55%,Other Vehicular: 48: 1.08%,PASSENGER VEHICLE: 2590: 58.35%,SPORT UTILITY / STATION WAGON: 965: 21.74%,VAN: 130: 2.93%,OTHER: 110: 2.48%,BUS: 57: 1.28%,STREET LIGHT CONDITION: 1402: 59.03%,STREET CONDITION: 813: 34.23%,STREET SIGN - MISSING: 74: 3.12%,Street Light Out: 1114: 46.91%,Pothole: 453: 19.07%,Cave-in: 80: 3.37%,Rough  Pitted or Cracked Roads: 76: 3.2%,Fixture/Luminaire Door Open: 70: 2.95%,2375
BRONX,10458,Ok,0.21,295.01,0.59,1.94,1705,3301,Driver Inattention/Distraction: 194: 5.88%,Fatigued/Drowsy: 75: 2.27%,Failure to Yield Right-of-Way: 61: 1.85%,Backing Unsafely: 52: 1.58%,Prescription Medication: 41: 1.24%,PASSENGER VEHICLE: 1958: 59.32%,SPORT UTILITY / STATION WAGON: 572: 17.33%,TAXI: 126: 3.82%,VAN: 92: 2.79%,BUS: 49: 1.48%,STREET CONDITION: 567: 63.28%,STREET LIGHT CONDITION: 259: 28.91%,STREET SIGN - MISSING: 39: 4.35%,Pothole: 376: 41.96%,Street Light Out: 220: 24.55%,Failed Street Repair: 46: 5.13%,Defective Hardware: 35: 3.91%,Cave-in: 35: 3.91%,896
BROOKLYN,11205,Ok,0.29,291.52,1.4,1.98,1427,2832,Driver Inattention/Distraction: 97: 3.43%,Failure to Yield Right-of-Way: 56: 1.98%,Fatigued/Drowsy: 51: 1.8%,Oversized Vehicle: 25: 0.88%,Backing Unsafely: 24: 0.85%,PASSENGER VEHICLE: 1194: 42.16%,SPORT UTILITY / STATION WAGON: 645: 22.78%,BICYCLE: 128: 4.52%,SMALL COM VEH(4 TIRES): 110: 3.88%,VAN: 110: 3.88%,STREET LIGHT CONDITION: 653: 49.54%,STREET CONDITION: 495: 37.56%,STREET SIGN - DAMAGED: 111: 8.42%,Street Light Out: 444: 33.69%,Pothole: 209: 15.86%,Cave-in: 67: 5.08%,Lamppost Base Door/Cover Open: 64: 4.86%,No Parking  Standing  Stopping: 51: 3.87%,1318
JAMAICA,11435,Ok,0.1,359.54,1.64,1.96,1221,2388,Driver Inattention/Distraction: 382: 16.0%,Other Vehicular: 107: 4.48%,Failure to Yield Right-of-Way: 92: 3.85%,Fatigued/Drowsy: 53: 2.22%,Backing Unsafely: 45: 1.88%,PASSENGER VEHICLE: 1340: 56.11%,SPORT UTILITY / STATION WAGON: 540: 22.61%,VAN: 62: 2.6%,BUS: 57: 2.39%,OTHER: 41: 1.72%,STREET LIGHT CONDITION: 590: 47.24%,STREET CONDITION: 545: 43.63%,STREET SIGN - MISSING: 50: 4.0%,Street Light Out: 494: 39.55%,Pothole: 291: 23.3%,Failed Street Repair: 65: 5.2%,Cave-in: 45: 3.6%,Defective Hardware: 43: 3.44%,1249
BROOKLYN,11204,Ok,0.11,290.34,1.77,2,1698,3393,Driver Inattention/Distraction: 200: 5.89%,Failure to Yield Right-of-Way: 105: 3.09%,Backing Unsafely: 47: 1.39%,Fatigued/Drowsy: 45: 1.33%,Prescription Medication: 43: 1.27%,PASSENGER VEHICLE: 1704: 50.22%,SPORT UTILITY / STATION WAGON: 1003: 29.56%,VAN: 95: 2.8%,OTHER: 74: 2.18%,BICYCLE: 72: 2.12%,STREET LIGHT CONDITION: 1002: 43.85%,STREET CONDITION: 819: 35.84%,STREET SIGN - DAMAGED: 379: 16.59%,Street Light Out: 734: 32.12%,Pothole: 374: 16.37%,Street Cleaning - ASP: 274: 11.99%,Cave-in: 137: 6.0%,Failed Street Repair: 78: 3.41%,2285
BROOKLYN,11207,Ok,0.26,427.16,0.99,2,4050,8088,Driver Inattention/Distraction: 127: 1.57%,Failure to Yield Right-of-Way: 59: 0.73%,Other Vehicular: 50: 0.62%,Fatigued/Drowsy: 42: 0.52%,Backing Unsafely: 26: 0.32%,PASSENGER VEHICLE: 5041: 62.33%,SPORT UTILITY / STATION WAGON: 1297: 16.04%,OTHER: 374: 4.62%,VAN: 192: 2.37%,BICYCLE: 119: 1.47%,STREET LIGHT CONDITION: 1927: 41.15%,STREET CONDITION: 1223: 26.12%,STREET SIGN - DAMAGED: 973: 20.78%,Street Light Out: 1466: 31.3%,Pothole: 698: 14.9%,Street Cleaning - ASP: 692: 14.78%,St Name - Attached to Pole: 355: 7.58%,Cave-in: 173: 3.69%,4683
CAMBRIA HEIGHTS,11411,Hazardous,0.02,399.66,5.15,2.01,583,1171,Driver Inattention/Distraction: 45: 3.84%,Failure to Yield Right-of-Way: 28: 2.39%,Physical Disability: 18: 1.54%,Backing Unsafely: 16: 1.37%,Other Vehicular: 14: 1.2%,PASSENGER VEHICLE: 742: 63.36%,SPORT UTILITY / STATION WAGON: 257: 21.95%,VAN: 27: 2.31%,OTHER: 20: 1.71%,BUS: 13: 1.11%,STREET LIGHT CONDITION: 443: 49.06%,STREET CONDITION: 366: 40.53%,STREET SIGN - DAMAGED: 64: 7.09%,Street Light Out: 340: 37.65%,Pothole: 217: 24.03%,Cave-in: 52: 5.76%,St Name - Attached to Pole: 40: 4.43%,Stop: 36: 3.99%,903
BROOKLYN,11206,Hazardous,0.43,366.62,1.43,1.96,2103,4112,Driver Inattention/Distraction: 146: 3.55%,Failure to Yield Right-of-Way: 89: 2.16%,Fatigued/Drowsy: 73: 1.78%,Lost Consciousness: 63: 1.53%,Other Vehicular: 47: 1.14%,PASSENGER VEHICLE: 1674: 40.71%,SPORT UTILITY / STATION WAGON: 952: 23.15%,OTHER: 307: 7.47%,BICYCLE: 168: 4.09%,VAN: 144: 3.5%,STREET LIGHT CONDITION: 941: 43.28%,STREET CONDITION: 704: 32.38%,STREET SIGN - DAMAGED: 434: 19.96%,Street Light Out: 679: 31.23%,Pothole: 393: 18.08%,Street Cleaning - ASP: 205: 9.43%,Stop: 95: 4.37%,One Way: 89: 4.09%,2174
BROOKLYN,11209,Ok,0.09,252.95,0.79,1.98,1273,2525,Driver Inattention/Distraction: 102: 4.04%,Fell Asleep: 67: 2.65%,Backing Unsafely: 65: 2.57%,Failure to Yield Right-of-Way: 65: 2.57%,Other Vehicular: 52: 2.06%,PASSENGER VEHICLE: 1311: 51.92%,SPORT UTILITY / STATION WAGON: 666: 26.38%,VAN: 56: 2.22%,LIVERY VEHICLE: 56: 2.22%,BICYCLE: 44: 1.74%,STREET CONDITION: 1028: 47.03%,STREET LIGHT CONDITION: 752: 34.4%,STREET SIGN - DAMAGED: 303: 13.86%,Street Light Out: 547: 25.02%,Pothole: 412: 18.85%,Cave-in: 234: 10.7%,Street Cleaning - ASP: 222: 10.16%,Failed Street Repair: 92: 4.21%,2186
SAINT ALBANS,11412,Ok,0.1,481.44,0,1.99,943,1876,Driver Inattention/Distraction: 205: 10.93%,Failure to Yield Right-of-Way: 63: 3.36%,Driver Inexperience: 33: 1.76%,Traffic Control Disregarded: 27: 1.44%,Physical Disability: 23: 1.23%,PASSENGER VEHICLE: 1123: 59.86%,SPORT UTILITY / STATION WAGON: 415: 22.12%,VAN: 49: 2.61%,BICYCLE: 30: 1.6%,BUS: 19: 1.01%,STREET LIGHT CONDITION: 810: 55.59%,STREET CONDITION: 527: 36.17%,STREET SIGN - DAMAGED: 43: 2.95%,Street Light Out: 621: 42.62%,Pothole: 267: 18.33%,Failed Street Repair: 71: 4.87%,Stop: 52: 3.57%,Cave-in: 47: 3.23%,1457
BROOKLYN,11208,Ok,0.05,398.75,2.24,1.99,2232,4438,Driver Inattention/Distraction: 88: 1.98%,Failure to Yield Right-of-Way: 39: 0.88%,Other Vehicular: 34: 0.77%,Physical Disability: 18: 0.41%,Traffic Control Disregarded: 17: 0.38%,PASSENGER VEHICLE: 2781: 62.66%,SPORT UTILITY / STATION WAGON: 698: 15.73%,VAN: 91: 2.05%,OTHER: 82: 1.85%,PICK-UP TRUCK: 64: 1.44%,STREET CONDITION: 1322: 38.67%,STREET LIGHT CONDITION: 1313: 38.4%,STREET SIGN - DAMAGED: 523: 15.3%,Street Light Out: 1023: 29.92%,Pothole: 710: 20.77%,Street Cleaning - ASP: 352: 10.3%,Cave-in: 243: 7.11%,St Name - Attached to Pole: 163: 4.77%,3419
SPRINGFIELD GARDENS,11413,Hazardous,0.42,366.57,0.72,1.99,1394,2781,Driver Inattention/Distraction: 163: 5.86%,Failure to Yield Right-of-Way: 95: 3.42%,Fatigued/Drowsy: 54: 1.94%,Outside Car Distraction: 29: 1.04%,Physical Disability: 28: 1.01%,PASSENGER VEHICLE: 1675: 60.23%,SPORT UTILITY / STATION WAGON: 596: 21.43%,VAN: 77: 2.77%,OTHER: 63: 2.27%,BUS: 32: 1.15%,STREET LIGHT CONDITION: 1113: 53.2%,STREET CONDITION: 860: 41.11%,STREET SIGN - DAMAGED: 50: 2.39%,Street Light Out: 939: 44.89%,Pothole: 485: 23.18%,Cave-in: 106: 5.07%,Rough  Pitted or Cracked Roads: 69: 3.3%,Wear & Tear: 62: 2.96%,2092
HOWARD BEACH,11414,Ok,0.02,336.07,4.92,2.05,610,1248,Driver Inattention/Distraction: 66: 5.29%,Failure to Yield Right-of-Way: 47: 3.77%,Fatigued/Drowsy: 30: 2.4%,Backing Unsafely: 13: 1.04%,Prescription Medication: 13: 1.04%,PASSENGER VEHICLE: 726: 58.17%,SPORT UTILITY / STATION WAGON: 274: 21.96%,OTHER: 37: 2.96%,VAN: 26: 2.08%,BUS: 20: 1.6%,STREET LIGHT CONDITION: 794: 47.32%,STREET CONDITION: 751: 44.76%,STREET SIGN - DAMAGED: 78: 4.65%,Street Light Out: 618: 36.83%,Pothole: 416: 24.79%,Cave-in: 104: 6.2%,Rough  Pitted or Cracked Roads: 84: 5.01%,Stop: 62: 3.69%,1678
KEW GARDENS,11415,Ok,0.02,166.28,2.31,1.97,433,855,Driver Inattention/Distraction: 157: 18.36%,Failure to Yield Right-of-Way: 24: 2.81%,Backing Unsafely: 23: 2.69%,Fatigued/Drowsy: 22: 2.57%,Prescription Medication: 17: 1.99%,PASSENGER VEHICLE: 581: 67.95%,SPORT UTILITY / STATION WAGON: 121: 14.15%,VAN: 15: 1.75%,BUS: 15: 1.75%,TAXI: 12: 1.4%,STREET CONDITION: 349: 52.88%,STREET LIGHT CONDITION: 274: 41.52%,STREET SIGN - DAMAGED: 17: 2.58%,Pothole: 198: 30.0%,Street Light Out: 192: 29.09%,Blocked - Construction: 37: 5.61%,Rough  Pitted or Cracked Roads: 29: 4.39%,Plate Condition - Noisy: 24: 3.64%,660
OZONE PARK,11416,Ok,0.08,339.76,0,2.04,674,1378,Driver Inattention/Distraction: 261: 18.94%,Failure to Yield Right-of-Way: 43: 3.12%,Physical Disability: 38: 2.76%,Fatigued/Drowsy: 30: 2.18%,Traffic Control Disregarded: 25: 1.81%,PASSENGER VEHICLE: 893: 64.8%,SPORT UTILITY / STATION WAGON: 262: 19.01%,TAXI: 25: 1.81%,OTHER: 24: 1.74%,BICYCLE: 19: 1.38%,STREET LIGHT CONDITION: 503: 49.07%,STREET CONDITION: 476: 46.44%,STREET SIGN - MISSING: 19: 1.85%,Street Light Out: 376: 36.68%,Pothole: 281: 27.41%,Cave-in: 79: 7.71%,Wear & Tear: 37: 3.61%,Street Light Cycling: 37: 3.61%,1025
OZONE PARK,11417,Ok,0.25,341.32,0,2.03,1043,2118,Driver Inattention/Distraction: 181: 8.55%,Failure to Yield Right-of-Way: 66: 3.12%,Fatigued/Drowsy: 58: 2.74%,Traffic Control Disregarded: 21: 0.99%,Turning Improperly: 20: 0.94%,PASSENGER VEHICLE: 1261: 59.54%,SPORT UTILITY / STATION WAGON: 459: 21.67%,OTHER: 63: 2.97%,VAN: 42: 1.98%,BUS: 32: 1.51%,STREET CONDITION: 711: 48.93%,STREET LIGHT CONDITION: 648: 44.6%,STREET SIGN - DAMAGED: 53: 3.65%,Pothole: 471: 32.42%,Street Light Out: 469: 32.28%,Cave-in: 78: 5.37%,Wear & Tear: 44: 3.03%,Street Light Cycling: 42: 2.89%,1453
RICHMOND HILL,11418,Ok,0.05,238.1,5.95,2.03,1008,2051,Driver Inattention/Distraction: 387: 18.87%,Traffic Control Disregarded: 49: 2.39%,Backing Unsafely: 45: 2.19%,Failure to Yield Right-of-Way: 40: 1.95%,Fatigued/Drowsy: 33: 1.61%,PASSENGER VEHICLE: 1325: 64.6%,SPORT UTILITY / STATION WAGON: 362: 17.65%,VAN: 39: 1.9%,SMALL COM VEH(4 TIRES): 30: 1.46%,OTHER: 30: 1.46%,STREET CONDITION: 672: 50.56%,STREET LIGHT CONDITION: 580: 43.64%,STREET SIGN - DAMAGED: 40: 3.01%,Street Light Out: 451: 33.94%,Pothole: 442: 33.26%,Cave-in: 46: 3.46%,Failed Street Repair: 37: 2.78%,Rough  Pitted or Cracked Roads: 34: 2.56%,1329
SOUTH RICHMOND HILL,11419,Ok,0.06,299.76,0.81,2.04,1241,2527,Driver Inattention/Distraction: 324: 12.82%,Failure to Yield Right-of-Way: 74: 2.93%,Physical Disability: 62: 2.45%,Backing Unsafely: 49: 1.94%,Fatigued/Drowsy: 43: 1.7%,PASSENGER VEHICLE: 1626: 64.35%,SPORT UTILITY / STATION WAGON: 484: 19.15%,VAN: 44: 1.74%,BICYCLE: 33: 1.31%,OTHER: 32: 1.27%,STREET LIGHT CONDITION: 480: 52.17%,STREET CONDITION: 394: 42.83%,STREET SIGN - DAMAGED: 23: 2.5%,Street Light Out: 371: 40.33%,Pothole: 216: 23.48%,Cave-in: 49: 5.33%,Failed Street Repair: 26: 2.83%,Rough  Pitted or Cracked Roads: 26: 2.83%,920
NEW YORK,10039,Ok,0.03,276.6,0,1.8,329,591,Driver Inattention/Distraction: 26: 4.4%,Other Vehicular: 19: 3.21%,Failure to Yield Right-of-Way: 18: 3.05%,Fatigued/Drowsy: 10: 1.69%,Driver Inexperience: 8: 1.35%,PASSENGER VEHICLE: 263: 44.5%,SPORT UTILITY / STATION WAGON: 125: 21.15%,LIVERY VEHICLE: 36: 6.09%,VAN: 20: 3.38%,BICYCLE: 13: 2.2%,STREET CONDITION: 126: 90.0%,STREET LIGHT CONDITION: 5: 3.57%,STREET SIGN - DAMAGED: 4: 2.86%,Pothole: 60: 42.86%,Defective Hardware: 28: 20.0%,Failed Street Repair: 12: 8.57%,Cave-in: 8: 5.71%,Rough  Pitted or Cracked Roads: 7: 5.0%,140
