City, Zip_code, Safety_classifier, Accidents_per_1000_veh, Injuries_per_1000_accidents, Deaths_per_1000_accidents, Vehicles_involved_per_accident, Total_num_accidents, Total_num_of_accident_veh, Top_factor_1, Top_factor_2, Top_factor_3, Top_factor_4, Top_factor_5, Top_vehicle_type_1, Top_vehicle_type_2, Top_vehicle_type_3, Top_vehicle_type_4, Top_vehicle_type_5, Top_street_complaint_1, Top_street_complaint_2, Top_street_complaint_3, Top_complaint_desc_1, Top_complaint_desc_2, Top_complaint_desc_3, Top_complaint_desc_4, Top_complaint_desc_5, Num_street_complaints
BROOKLYN,11230,Ok,0.3,279.4,1.37,2,2194,4395,Driver Inattention/Distraction: 159: 3.62%,Failure to Yield Right-of-Way: 62: 1.41%,Fatigued/Drowsy: 55: 1.25%,Prescription Medication: 46: 1.05%,Turning Improperly: 31: 0.71%,PASSENGER VEHICLE: 2266: 51.56%,SPORT UTILITY / STATION WAGON: 1260: 28.67%,VAN: 135: 3.07%,BUS: 90: 2.05%,BICYCLE: 79: 1.8%,STREET CONDITION: 991: 49.9%,STREET LIGHT CONDITION: 500: 25.18%,STREET SIGN - DAMAGED: 378: 19.03%,Pothole: 461: 23.21%,Street Light Out: 382: 19.23%,Street Cleaning - ASP: 246: 12.39%,Failed Street Repair: 108: 5.44%,Cave-in: 98: 4.93%,1986
NEW YORK,10023,Ok,0.09,154.51,1.84,1.94,1631,3157,Driver Inattention/Distraction: 233: 7.38%,Failure to Yield Right-of-Way: 81: 2.57%,Fatigued/Drowsy: 77: 2.44%,Backing Unsafely: 74: 2.34%,Lost Consciousness: 63: 2.0%,PASSENGER VEHICLE: 1228: 38.9%,TAXI: 632: 20.02%,SPORT UTILITY / STATION WAGON: 400: 12.67%,SMALL COM VEH(4 TIRES): 155: 4.91%,VAN: 136: 4.31%,STREET CONDITION: 824: 87.85%,STREET LIGHT CONDITION: 34: 3.62%,STREET SIGN - DAMAGED: 31: 3.3%,Pothole: 360: 38.38%,Plate Condition - Noisy: 111: 11.83%,Defective Hardware: 109: 11.62%,Blocked - Construction: 59: 6.29%,Failed Street Repair: 38: 4.05%,938
BROOKLYN,11231,Ok,0.51,193.47,0,1.96,827,1620,Driver Inattention/Distraction: 102: 6.3%,Oversized Vehicle: 36: 2.22%,Backing Unsafely: 31: 1.91%,Failure to Yield Right-of-Way: 27: 1.67%,Prescription Medication: 27: 1.67%,PASSENGER VEHICLE: 771: 47.59%,SPORT UTILITY / STATION WAGON: 220: 13.58%,OTHER: 133: 8.21%,LARGE COM VEH(6 OR MORE TIRES): 66: 4.07%,VAN: 57: 3.52%,STREET LIGHT CONDITION: 991: 45.77%,STREET CONDITION: 939: 43.37%,STREET SIGN - DAMAGED: 167: 7.71%,Street Light Out: 771: 35.61%,Pothole: 415: 19.17%,Failed Street Repair: 175: 8.08%,Cave-in: 100: 4.62%,Stop: 65: 3.0%,2165
STATEN ISLAND,10314,Ok,0.11,239.88,1.74,1.99,2297,4582,Driver Inattention/Distraction: 281: 6.13%,Fatigued/Drowsy: 154: 3.36%,Failure to Yield Right-of-Way: 92: 2.01%,Pavement Slippery: 70: 1.53%,Other Vehicular: 52: 1.13%,PASSENGER VEHICLE: 3124: 68.18%,SPORT UTILITY / STATION WAGON: 950: 20.73%,OTHER: 75: 1.64%,PICK-UP TRUCK: 56: 1.22%,VAN: 53: 1.16%,STREET CONDITION: 2577: 52.05%,STREET LIGHT CONDITION: 2099: 42.4%,STREET SIGN - MISSING: 110: 2.22%,Street Light Out: 1665: 33.63%,Pothole: 1524: 30.78%,Rough  Pitted or Cracked Roads: 288: 5.82%,Cave-in: 221: 4.46%,Failed Street Repair: 186: 3.76%,4951
BROOKLYN,11232,Ok,0.21,228.72,0,1.99,1351,2684,Driver Inattention/Distraction: 195: 7.27%,Failure to Yield Right-of-Way: 82: 3.06%,Backing Unsafely: 80: 2.98%,Fatigued/Drowsy: 62: 2.31%,Driver Inexperience: 50: 1.86%,PASSENGER VEHICLE: 1652: 61.55%,SPORT UTILITY / STATION WAGON: 309: 11.51%,SMALL COM VEH(4 TIRES): 115: 4.28%,VAN: 109: 4.06%,LARGE COM VEH(6 OR MORE TIRES): 107: 3.99%,STREET LIGHT CONDITION: 1059: 50.96%,STREET CONDITION: 821: 39.51%,STREET SIGN - DAMAGED: 138: 6.64%,Street Light Out: 746: 35.9%,Pothole: 580: 27.91%,Street Light Cycling: 176: 8.47%,Cave-in: 60: 2.89%,Street Cleaning - ASP: 60: 2.89%,2078
NEW YORK,10021,Ok,0.08,136.83,0.78,1.95,1279,2498,Other Vehicular: 842: 33.71%,Driver Inattention/Distraction: 196: 7.85%,Fatigued/Drowsy: 76: 3.04%,Turning Improperly: 68: 2.72%,Lost Consciousness: 47: 1.88%,PASSENGER VEHICLE: 826: 33.07%,TAXI: 516: 20.66%,SPORT UTILITY / STATION WAGON: 389: 15.57%,OTHER: 162: 6.49%,VAN: 144: 5.76%,STREET CONDITION: 839: 95.12%,STREET SIGN - DAMAGED: 18: 2.04%,STREET SIGN - MISSING: 15: 1.7%,Pothole: 242: 27.44%,Plate Condition - Noisy: 195: 22.11%,Defective Hardware: 156: 17.69%,Cave-in: 69: 7.82%,Blocked - Construction: 51: 5.78%,882
BROOKLYN,11233,Ok,0.25,421.43,0.96,1.98,2081,4116,Driver Inattention/Distraction: 182: 4.42%,Fatigued/Drowsy: 64: 1.55%,Failure to Yield Right-of-Way: 59: 1.43%,Turning Improperly: 31: 0.75%,Prescription Medication: 30: 0.73%,PASSENGER VEHICLE: 2470: 60.01%,SPORT UTILITY / STATION WAGON: 823: 20.0%,VAN: 88: 2.14%,OTHER: 78: 1.9%,BICYCLE: 73: 1.77%,STREET LIGHT CONDITION: 923: 50.3%,STREET CONDITION: 689: 37.55%,STREET SIGN - DAMAGED: 141: 7.68%,Street Light Out: 713: 38.86%,Pothole: 329: 17.93%,Cave-in: 117: 6.38%,Failed Street Repair: 112: 6.1%,St Name - Attached to Pole: 63: 3.43%,1835
NEW YORK,10004,Ok,0.04,128.38,2.25,1.88,444,834,Driver Inattention/Distraction: 102: 12.23%,Fatigued/Drowsy: 29: 3.48%,Lost Consciousness: 20: 2.4%,Failure to Yield Right-of-Way: 16: 1.92%,Backing Unsafely: 15: 1.8%,PASSENGER VEHICLE: 277: 33.21%,SPORT UTILITY / STATION WAGON: 151: 18.11%,BUS: 79: 9.47%,TAXI: 72: 8.63%,VAN: 69: 8.27%,STREET CONDITION: 275: 43.79%,STREET LIGHT CONDITION: 191: 30.41%,STREET SIGN - DAMAGED: 92: 14.65%,Pothole: 150: 23.89%,Street Light Out: 130: 20.7%,No Parking  Standing  Stopping: 90: 14.33%,Cave-in: 39: 6.21%,Blocked - Construction: 30: 4.78%,628
BROOKLYN,11234,Hazardous,0.37,284.24,0.76,2.04,2621,5338,Failure to Yield Right-of-Way: 182: 3.41%,Driver Inattention/Distraction: 145: 2.72%,Fatigued/Drowsy: 111: 2.08%,Prescription Medication: 79: 1.48%,Physical Disability: 58: 1.09%,PASSENGER VEHICLE: 3106: 58.19%,SPORT UTILITY / STATION WAGON: 1317: 24.67%,VAN: 150: 2.81%,BUS: 90: 1.69%,OTHER: 70: 1.31%,STREET CONDITION: 1726: 55.8%,STREET LIGHT CONDITION: 990: 32.01%,STREET SIGN - DAMAGED: 264: 8.54%,Pothole: 974: 31.49%,Street Light Out: 777: 25.12%,Cave-in: 230: 7.44%,Rough  Pitted or Cracked Roads: 162: 5.24%,Stop: 124: 4.01%,3093
NEW YORK,10005,Safe,0.02,134.1,0,1.85,261,483,Driver Inattention/Distraction: 52: 10.77%,Backing Unsafely: 14: 2.9%,Lost Consciousness: 11: 2.28%,Failure to Yield Right-of-Way: 9: 1.86%,Oversized Vehicle: 4: 0.83%,PASSENGER VEHICLE: 152: 31.47%,SPORT UTILITY / STATION WAGON: 78: 16.15%,TAXI: 41: 8.49%,VAN: 39: 8.07%,SMALL COM VEH(4 TIRES): 32: 6.63%,STREET CONDITION: 275: 42.05%,STREET LIGHT CONDITION: 225: 34.4%,STREET SIGN - DAMAGED: 97: 14.83%,Street Light Out: 140: 21.41%,Pothole: 134: 20.49%,No Parking  Standing  Stopping: 83: 12.69%,Blocked - Construction: 61: 9.33%,One Way: 40: 6.12%,654
